STEP	C1	C2	C3	C4	C5	C6	
1	1.3	1.3	1.3	1.3	1.3	1.3	
2	1.3	3.3	1.1	1.2	1.1	1.2	
3	1.3	3.3	1.1	1.2	1.1	1.2	
4	1.3	3.2	1.1	1.2	1.1	1.2	
5	1.3	3.2	1.1	1.2	1.1	1.2	
6	1.3	3.2	1.1	1.2	1.1	1.2	
7	1.3	3.2	1.1	1.2	1.1	1.2	
8	1.3	3.2	1.1	1.2	1.1	1.2	
9	1.3	3.2	1.1	1.2	1.1	1.2	
10	1.3	3.2	1.1	1.2	1.1	1.2	
11	1.3	3.1	1.0	1.1	1.0	1.1	
12	1.3	4.1	0.9	1.0	1.0	1.0	
13	1.3	4.1	0.9	1.0	1.0	1.0	
14	1.3	4.9	0.9	0.9	0.9	0.9	
15	1.3	4.9	0.9	0.9	0.9	0.9	
16	1.3	4.8	0.9	0.9	0.9	0.9	
17	1.3	4.8	0.9	0.9	0.9	0.9	
18	1.3	4.7	0.9	0.9	0.9	0.9	
19	1.3	5.0	0.9	0.9	0.9	0.9	
20	1.3	4.9	0.9	0.9	0.9	0.9	
21	1.3	4.9	0.9	0.9	0.9	0.9	
22	1.3	5.0	0.9	0.9	0.9	0.9	
23	1.3	5.0	0.9	0.9	0.9	0.9	
24	1.3	4.9	0.9	0.9	0.9	0.9	
25	1.3	4.9	0.9	0.9	0.9	0.9	
26	1.3	4.9	0.9	0.9	0.9	0.9	
27	1.3	4.9	0.9	0.9	0.9	0.9	
28	1.3	4.9	0.9	0.9	0.9	0.9	
29	1.3	4.9	0.9	0.9	0.9	0.9	
30	1.3	4.9	0.9	0.9	0.9	0.9	
31	1.3	4.8	0.9	0.9	0.9	0.9	
32	1.3	5.0	0.9	0.9	0.9	0.9	
33	1.3	5.0	0.9	0.9	0.9	0.9	
34	1.3	4.9	0.9	0.9	0.9	0.9	
35	1.3	5.0	0.9	0.9	0.9	0.9	
36	1.3	5.0	0.9	0.9	0.9	0.9	
37	1.3	5.0	0.9	0.9	0.9	0.9	
38	1.3	5.0	0.9	0.9	0.9	0.9	
39	1.3	5.0	0.9	0.9	0.9	0.9	
40	1.3	4.9	0.9	0.9	0.9	0.9	
41	1.3	4.8	0.9	0.9	0.9	0.9	
42	1.3	5.0	0.9	0.9	0.9	0.9	
43	1.3	4.9	0.9	0.9	0.9	0.9	
