STEP	C1	C2	C3	C4	C5	C6	C7	C8	
1	2.1	1.0	1.0	1.0	1.0	1.1	1.3	1.0	
2	2.0	1.0	1.0	1.0	1.0	1.0	1.3	1.0	
3	2.0	1.0	1.0	1.0	1.0	1.0	1.3	1.0	
4	2.9	0.9	0.9	0.9	0.9	0.9	1.3	0.9	
5	2.8	0.9	0.9	0.9	0.9	0.9	1.3	0.9	
6	2.7	0.9	0.9	0.9	0.9	0.9	1.3	0.9	
7	2.7	0.9	0.9	0.9	0.9	0.9	1.3	0.9	
8	2.6	0.9	0.9	0.9	0.9	0.9	1.3	0.9	
9	2.5	0.9	0.9	0.9	0.9	0.9	1.3	0.9	
10	2.5	0.9	0.9	0.9	0.9	0.9	1.3	0.9	
11	3.5	0.8	0.9	0.9	0.9	0.9	1.3	0.9	
12	3.5	0.8	0.9	0.9	0.9	0.9	1.3	0.9	
13	3.4	0.8	0.8	0.8	0.9	0.9	1.3	0.9	
14	3.4	0.8	0.8	0.8	0.9	0.9	1.3	0.9	
15	3.4	0.8	0.8	0.8	0.8	0.9	1.3	0.9	
16	3.4	0.8	0.8	0.8	0.8	0.9	1.3	0.9	
17	3.3	0.8	0.8	0.8	0.8	0.9	1.3	0.9	
18	3.3	0.8	0.8	0.8	0.8	0.9	1.3	0.9	
19	3.2	0.8	0.8	0.8	0.8	0.9	1.3	0.9	
20	3.1	0.8	0.8	0.8	0.8	0.9	1.3	0.9	
21	3.1	0.8	0.8	0.8	0.8	0.9	1.3	0.9	
22	4.1	0.8	0.8	0.8	0.8	0.9	1.3	0.9	
23	4.1	0.8	0.8	0.8	0.8	0.9	1.3	0.9	
24	4.0	0.8	0.8	0.8	0.8	0.9	1.3	0.9	
25	4.0	0.8	0.8	0.8	0.8	0.9	1.3	0.9	
26	4.0	0.8	0.8	0.8	0.8	0.9	1.3	0.9	
27	4.0	0.8	0.8	0.8	0.8	0.9	1.3	0.9	
28	4.0	0.8	0.8	0.8	0.8	0.9	1.3	0.9	
29	4.0	0.8	0.8	0.8	0.8	0.9	1.3	0.9	
30	4.0	0.8	0.8	0.8	0.8	0.9	1.3	0.9	
31	4.0	0.8	0.8	0.8	0.8	0.9	1.3	0.9	
32	4.0	0.8	0.8	0.8	0.8	0.9	1.3	0.9	
33	4.0	0.8	0.8	0.8	0.8	0.9	1.3	0.9	
34	4.0	0.8	0.8	0.8	0.8	0.9	1.3	0.9	
35	4.0	0.8	0.8	0.8	0.8	0.9	1.3	0.9	
36	4.0	0.8	0.8	0.8	0.8	0.9	1.3	0.9	
37	4.0	0.8	0.8	0.8	0.8	0.9	1.3	0.9	
38	4.0	0.8	0.8	0.8	0.8	0.9	1.3	0.9	
39	4.0	0.8	0.8	0.8	0.8	0.9	1.3	0.9	
40	3.9	0.8	0.8	0.8	0.8	0.9	1.3	0.9	
41	3.9	0.8	0.8	0.8	0.8	0.9	1.3	0.9	
42	3.8	0.8	0.8	0.8	0.8	0.9	1.3	0.9	
43	3.8	0.8	0.8	0.8	0.8	0.9	1.3	0.9	
44	3.7	0.8	0.8	0.8	0.8	0.9	1.3	0.9	
45	4.7	0.8	0.8	0.8	0.8	0.9	1.3	0.9	
46	4.7	0.8	0.8	0.8	0.8	0.9	1.3	0.9	
47	4.6	0.8	0.8	0.8	0.8	0.9	1.3	0.9	
48	4.6	0.8	0.8	0.8	0.8	0.9	1.3	0.9	
49	4.6	0.8	0.8	0.8	0.8	0.9	1.3	0.9	
50	4.6	0.8	0.8	0.8	0.8	0.9	1.3	0.9	
51	4.6	0.8	0.8	0.8	0.8	0.9	1.3	0.9	
52	4.6	0.8	0.8	0.8	0.8	0.9	1.3	0.9	
53	4.6	0.8	0.8	0.8	0.8	0.9	1.3	0.9	
54	4.6	0.8	0.8	0.8	0.8	0.9	1.3	0.9	
55	4.5	0.8	0.8	0.8	0.8	0.9	1.3	0.9	
56	5.0	0.8	0.8	0.8	0.8	0.9	1.3	0.9	
57	5.0	0.8	0.8	0.8	0.8	0.9	1.3	0.9	
58	4.9	0.8	0.8	0.8	0.8	0.9	1.3	0.9	
59	4.9	0.8	0.8	0.8	0.8	0.9	1.3	0.9	
60	4.9	0.8	0.8	0.8	0.8	0.9	1.3	0.9	
61	4.9	0.8	0.8	0.8	0.8	0.9	1.3	0.9	
62	4.9	0.8	0.8	0.8	0.8	0.9	1.3	0.9	
63	4.9	0.8	0.8	0.8	0.8	0.8	1.3	0.8	
64	4.9	0.8	0.8	0.8	0.8	0.8	1.3	0.8	
65	4.9	0.8	0.8	0.8	0.8	0.8	1.3	0.8	
66	4.9	0.8	0.8	0.8	0.8	0.8	1.3	0.8	
67	4.8	0.8	0.8	0.8	0.8	0.8	1.3	0.8	
68	4.8	0.8	0.8	0.8	0.8	0.8	1.3	0.8	
69	5.0	0.8	0.8	0.8	0.8	0.8	1.3	0.8	
70	5.0	0.8	0.8	0.8	0.8	0.8	1.3	0.8	
71	4.8	0.8	0.8	0.8	0.8	0.8	1.3	0.8	
72	4.8	0.8	0.8	0.8	0.8	0.8	1.3	0.8	
73	4.7	0.8	0.8	0.8	0.8	0.8	1.3	0.8	
74	4.6	0.8	0.8	0.8	0.8	0.8	1.3	0.8	
75	4.6	0.8	0.8	0.8	0.8	0.8	1.3	0.8	
76	5.0	0.8	0.8	0.8	0.8	0.8	1.3	0.8	
77	5.0	0.8	0.8	0.8	0.8	0.8	1.3	0.8	
78	4.9	0.8	0.8	0.8	0.8	0.8	1.3	0.8	
79	4.9	0.8	0.8	0.8	0.8	0.8	1.3	0.8	
80	4.9	0.8	0.8	0.8	0.8	0.8	1.3	0.8	
81	4.9	0.8	0.8	0.8	0.8	0.8	1.3	0.8	
82	4.9	0.8	0.8	0.8	0.8	0.8	1.3	0.8	
83	4.9	0.8	0.8	0.8	0.8	0.8	1.3	0.8	
84	4.9	0.8	0.8	0.8	0.8	0.8	1.3	0.8	
85	4.9	0.8	0.8	0.8	0.8	0.8	1.3	0.8	
86	4.9	0.8	0.8	0.8	0.8	0.8	1.3	0.8	
87	4.9	0.8	0.8	0.8	0.8	0.8	1.3	0.8	
88	4.9	0.8	0.8	0.8	0.8	0.8	1.3	0.8	
89	4.9	0.8	0.8	0.8	0.8	0.8	1.3	0.8	
90	4.9	0.8	0.8	0.8	0.8	0.8	1.3	0.8	
91	4.9	0.8	0.8	0.8	0.8	0.8	1.3	0.8	
92	4.9	0.8	0.8	0.8	0.8	0.8	1.3	0.8	
93	4.9	0.8	0.8	0.8	0.8	0.8	1.3	0.8	
94	4.9	0.8	0.8	0.8	0.8	0.8	1.3	0.8	
95	4.9	0.8	0.8	0.8	0.8	0.8	1.3	0.8	
