STEP	C1	C2	C3	C4	
1	1.3	1.3	1.3	1.3	
2	1.3	1.3	1.3	1.3	
3	1.3	1.3	1.3	1.3	
4	1.1	1.3	2.3	2.2	
5	1.1	1.3	2.3	3.2	
6	1.1	1.3	2.3	3.2	
7	1.1	1.3	2.2	3.1	
8	2.1	1.3	2.2	3.1	
9	2.1	1.3	2.1	3.0	
10	2.1	1.3	2.1	3.0	
11	3.1	1.3	2.1	3.0	
12	3.0	1.3	2.1	3.0	
13	3.0	1.3	2.1	3.0	
14	3.0	1.3	2.1	4.0	
15	4.0	1.3	2.1	5.0	
16	4.0	1.3	2.1	5.0	
17	5.0	1.3	2.1	5.0	
18	4.9	1.3	2.0	4.9	
19	4.9	1.3	1.9	4.8	
20	4.9	1.3	1.9	4.8	
21	5.0	1.3	2.9	4.7	
22	4.9	1.3	2.8	4.6	
23	4.9	1.3	2.8	4.6	
24	4.9	1.3	2.8	5.0	
25	4.9	1.3	2.8	5.0	
26	4.9	1.3	2.8	5.0	
27	4.8	1.3	2.7	5.0	
28	5.0	1.3	2.7	5.0	
29	5.0	1.3	2.7	5.0	
30	5.0	1.3	2.6	5.0	
31	5.0	1.3	2.6	5.0	
32	4.9	1.3	2.5	4.9	
33	4.9	1.3	3.5	4.8	
34	4.9	1.3	3.4	5.0	
35	4.8	1.3	3.3	5.0	
36	4.8	1.3	4.3	5.0	
37	4.8	1.3	5.0	4.9	
38	4.8	1.3	5.0	4.9	
39	5.0	1.3	5.0	4.9	
40	5.0	1.3	5.0	4.9	
41	5.0	1.3	5.0	4.9	
42	4.9	1.3	4.9	4.8	
43	4.9	1.3	4.9	4.8	
44	4.9	1.3	4.9	5.0	
45	4.9	1.3	4.9	5.0	
46	4.9	1.3	4.9	5.0	
47	4.7	1.3	4.7	4.9	
48	5.0	1.3	4.7	4.9	
49	5.0	1.3	4.7	4.9	
50	5.0	1.3	4.6	4.9	
51	5.0	1.3	4.6	4.9	
52	4.9	1.3	4.5	4.8	
53	4.9	1.3	5.0	4.8	
54	4.9	1.3	5.0	5.0	
55	4.9	1.3	5.0	5.0	
56	4.9	1.3	5.0	5.0	
