任务分配方法：1 	
Thu Jan 01 15:56:54 2015
	
节点ID	任务集合	
101	10031	10032	10009	
102	10028	10029	10012	
103	10019	10022	10025	10020	10023	10026	
104	10001	10004	10007	10002	10005	10008	
105	10010	10013	10016	10011	10014	
106	10003	
107	10017	10006	
108	10034	10035	10015	

节点ID	负载	
101	0.810000	
102	0.810000	
103	0.900000	
104	0.780000	
105	0.690000	
106	0.500000	
107	0.800000	
108	0.810000	

任务ID	执行节点	状态	消耗	转移	
10010	105	1	0.03	0	
10013	105	1	0.03	0	
10016	105	1	0.03	0	
10019	103	1	0.05	0	
10022	103	1	0.05	0	
10025	103	1	0.05	0	
10001	104	1	0.06	0	
10004	104	1	0.06	0	
10007	104	1	0.06	0	
10028	102	1	0.06	0	
10031	101	1	0.06	0	
10034	108	1	0.06	0	
10002	104	1	0.20	0	
10005	104	1	0.20	0	
10008	104	1	0.20	0	
10020	103	1	0.25	0	
10023	103	1	0.25	0	
10026	103	1	0.25	0	
10029	102	1	0.25	0	
10032	101	1	0.25	0	
10035	108	1	0.25	0	
10011	105	1	0.30	0	
10014	105	1	0.30	0	
10017	107	1	0.30	1	
10003	106	1	0.50	1	
10006	107	1	0.50	1	
10009	101	1	0.50	1	
10012	102	1	0.50	1	
10015	108	1	0.50	1	
10018	0	2	0.50	0	
10021	0	2	0.50	0	
10024	0	2	0.50	0	
10027	0	2	0.50	0	
10030	0	2	0.50	0	
10033	0	2	0.50	0	
10036	0	2	0.50	0	

系统资源利用率	任务丢弃率	任务转移次数	
0.762	 0.194	 6	
